Meter Readings,

Timestamp,Distribution Transformer,Hardware,Meter Number,Customer,Meter Reading (kWh),Usage Amount (kWh),Anomalous?,Customer Tags
2026-06-28 23:00:13+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12394,0,false,
2026-06-28 22:00:11+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12394,0,false,
2026-06-28 21:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12394,1,false,
2026-06-28 20:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12393,0,false,
2026-06-28 19:00:14+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12393,1,false,
2026-06-28 17:00:14+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12392,0,true,
2026-06-28 16:00:08+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12385,9,false,
2026-06-28 12:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12376,0,true,
2026-06-28 11:00:16+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12371,3,false,
2026-06-28 10:00:09+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12368,0,false,
2026-06-28 09:00:16+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12368,1,false,
2026-06-28 08:00:17+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12367,1,false,
2026-06-28 07:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12366,1,false,
2026-06-28 06:00:12+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12365,1,false,
2026-06-28 05:00:15+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-28 04:00:14+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-28 03:00:07+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-28 02:00:18+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
2026-06-28 01:00:10+00:00,Na-Aka Hub,0308000187515,0308000187515,Power Room Microaccess Gudu Solar meter,12364,0,false,
